topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,auc,ap,ring_recall
star,0.0,4,848,1686,42,gcn,0.9125000000000001,0.42190298943684545,0.5
star,0.0,4,848,1686,42,sage,0.8430555555555556,0.3288610548103614,0.5
star,0.0,4,848,1686,42,mlp,0.4736111111111111,0.06621023949398733,0.0
star,0.5,0,848,1710,42,gcn,0.86875,0.2920860333543681,0.16666666666666666
star,0.5,0,848,1710,42,sage,0.86875,0.35851862308384047,0.16666666666666666
star,0.5,0,848,1710,42,mlp,0.6631944444444444,0.10873443998374818,0.0
star,0.5,1,848,1710,42,gcn,0.9395833333333333,0.4675829021067116,0.5
star,0.5,1,848,1710,42,sage,0.8180555555555555,0.41964648303390695,0.0
star,0.5,1,848,1710,42,mlp,0.4375,0.05889928344895164,0.0
star,0.5,2,848,1710,42,gcn,0.6465277777777777,0.12060050971075337,0.0
star,0.5,2,848,1710,42,sage,0.7152777777777777,0.22230030301925724,0.0
star,0.5,2,848,1710,42,mlp,0.523611111111111,0.06301339619566501,0.0
star,0.5,3,848,1710,42,gcn,0.9222222222222223,0.507545888997502,0.16666666666666666
star,0.5,3,848,1710,42,sage,0.8590277777777777,0.5798941798941799,0.16666666666666666
star,0.5,3,848,1710,42,mlp,0.6256944444444444,0.07300613701507801,0.0
star,0.5,4,848,1710,42,gcn,0.7243055555555555,0.1263556871456047,0.0
star,0.5,4,848,1710,42,sage,0.8506944444444444,0.3274210357543691,0.0
star,0.5,4,848,1710,42,mlp,0.5541666666666667,0.06442061370410636,0.0
star,1.0,0,848,1770,42,gcn,0.8375,0.22582821799295186,0.0
star,1.0,0,848,1770,42,sage,0.7847222222222222,0.3118260566216324,0.0
star,1.0,0,848,1770,42,mlp,0.6465277777777778,0.10685056212008576,0.0
star,1.0,1,848,1770,42,gcn,0.6263888888888889,0.07588473185084935,0.0
star,1.0,1,848,1770,42,sage,0.5659722222222222,0.06498728876766778,0.0
star,1.0,1,848,1770,42,mlp,0.5506944444444444,0.06396222518363998,0.0
star,1.0,2,848,1770,42,gcn,0.6354166666666666,0.11401511389440008,0.0
star,1.0,2,848,1770,42,sage,0.38611111111111107,0.04712923031516973,0.0
star,1.0,2,848,1770,42,mlp,0.4548611111111111,0.060272070874497694,0.0
star,1.0,3,848,1770,42,gcn,0.6430555555555556,0.1630657457452261,0.0
star,1.0,3,848,1770,42,sage,0.7486111111111111,0.2501515394249801,0.0
star,1.0,3,848,1770,42,mlp,0.5256944444444445,0.16778243328923217,0.0
star,1.0,4,848,1770,42,gcn,0.7083333333333333,0.10268898866974084,0.0
star,1.0,4,848,1770,42,sage,0.625,0.18167184905364842,0.0
star,1.0,4,848,1770,42,mlp,0.5118055555555555,0.06444398584559537,0.0
star,2.0,0,848,1854,42,gcn,0.7923611111111111,0.24572181774382815,0.0
star,2.0,0,848,1854,42,sage,0.7604166666666667,0.20575484945228512,0.0
star,2.0,0,848,1854,42,mlp,0.6034722222222222,0.11343394105781171,0.0
star,2.0,1,848,1854,42,gcn,0.5,0.055255005195954866,0.0
