topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,explainer,node,precision,recall,f1,random_expectation,lift,n_candidates,n_relevant,k
clique,0.0,0,848,1812,168,sage,gnnexplainer,838,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7368421052631579,0.9693877551020409,38,28,28
clique,0.0,0,848,1812,168,sage,grad,838,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7368421052631579,0.9209183673469389,38,28,28
clique,0.0,0,848,1812,168,sage,random,838,0.75,0.75,0.75,0.7368421052631579,1.017857142857143,38,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,800,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7368421052631579,1.066326530612245,38,28,28
clique,0.0,0,848,1812,168,sage,grad,800,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7368421052631579,1.066326530612245,38,28,28
clique,0.0,0,848,1812,168,sage,random,800,0.75,0.75,0.75,0.7368421052631579,1.017857142857143,38,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,825,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,1.0714285714285716,42,28,28
clique,0.0,0,848,1812,168,sage,grad,825,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,1.0714285714285716,42,28,28
clique,0.0,0,848,1812,168,sage,random,825,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.9642857142857144,42,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,846,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5833333333333334,1.2244897959183674,48,28,28
clique,0.0,0,848,1812,168,sage,grad,846,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.5833333333333334,1.163265306122449,48,28,28
clique,0.0,0,848,1812,168,sage,random,846,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5833333333333334,1.1020408163265307,48,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,813,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.56,1.0841836734693875,50,28,28
clique,0.0,0,848,1812,168,sage,grad,813,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.56,1.0841836734693875,50,28,28
clique,0.0,0,848,1812,168,sage,random,813,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.56,0.9566326530612244,50,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,828,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6222222222222222,1.090561224489796,45,28,28
clique,0.0,0,848,1812,168,sage,grad,828,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6222222222222222,1.0331632653061225,45,28,28
clique,0.0,0,848,1812,168,sage,random,828,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6222222222222222,1.090561224489796,45,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,812,0.75,0.75,0.75,0.6829268292682927,1.0982142857142856,41,28,28
clique,0.0,0,848,1812,168,sage,grad,812,0.75,0.75,0.75,0.6829268292682927,1.0982142857142856,41,28,28
clique,0.0,0,848,1812,168,sage,random,812,0.75,0.75,0.75,0.6829268292682927,1.0982142857142856,41,28,28
clique,0.0,0,848,1812,168,sage,gnnexplainer,827,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7,0.8163265306122449,40,28,28
clique,0.0,0,848,1812,168,sage,grad,827,0.75,0.75,0.75,0.7,1.0714285714285714,40,28,28
clique,0.0,0,848,1812,168,sage,random,827,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7,0.9183673469387756,40,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,837,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6363636363636364,1.066326530612245,44,28,28
clique,0.0,1,848,1812,168,gcn,grad,837,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6363636363636364,1.0102040816326532,44,28,28
clique,0.0,1,848,1812,168,gcn,random,837,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6363636363636364,1.066326530612245,44,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,829,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.717948717948718,0.9948979591836735,39,28,28
clique,0.0,1,848,1812,168,gcn,grad,829,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,1,848,1812,168,gcn,random,829,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.717948717948718,0.9948979591836735,39,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,828,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.717948717948718,1.094387755102041,39,28,28
clique,0.0,1,848,1812,168,gcn,grad,828,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,1,848,1812,168,gcn,random,828,0.75,0.75,0.75,0.717948717948718,1.0446428571428572,39,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,808,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.32558139534883723,1.4260204081632653,86,28,28
clique,0.0,1,848,1812,168,gcn,grad,808,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.32558139534883723,1.8647959183673466,86,28,28
clique,0.0,1,848,1812,168,gcn,random,808,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.32558139534883723,0.8775510204081631,86,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,820,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.5283018867924528,0.6760204081632654,53,28,28
clique,0.0,1,848,1812,168,gcn,grad,820,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5283018867924528,1.2168367346938778,53,28,28
