,,,,,,precision,precision,random_expectation,random_expectation,lift,lift,n_candidates,n_candidates,n_relevant,n_relevant
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std
topology,camouflage,model,explainer,detected,k_mode,,,,,,,,,,
bipartite,0.5,gcn,ig,0,k5,0.6526,0.1124,0.2787,0.0949,2.8,1.5772,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,ig,0,oracle,0.3651,0.0814,0.2787,0.0949,1.5576,0.9786,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,ig,1,k1,0.624,0.4863,0.2528,0.0824,2.9679,2.8459,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,ig,1,k10,0.4408,0.1009,0.2528,0.0824,2.0185,1.0437,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,ig,1,k20,0.3788,0.076,0.2528,0.0824,1.7362,0.8915,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,ig,1,k3,0.6267,0.2526,0.2528,0.0824,2.8073,1.5887,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,ig,1,k5,0.5728,0.1691,0.2528,0.0824,2.6009,1.4061,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,ig,1,oracle,0.3917,0.0841,0.2528,0.0824,1.7935,0.9126,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,random,0,k1,0.3158,0.4776,0.2787,0.0949,1.1941,2.115,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,random,0,k10,0.2895,0.1243,0.2787,0.0949,1.0668,0.3833,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,random,0,k20,0.2789,0.1284,0.2787,0.0949,0.9799,0.2927,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,random,0,k3,0.2982,0.2458,0.2787,0.0949,1.2533,1.0895,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,random,0,k5,0.2842,0.1537,0.2787,0.0949,1.1026,0.5324,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,random,0,oracle,0.2697,0.1351,0.2787,0.0949,0.9517,0.309,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,random,1,k1,0.264,0.4426,0.2528,0.0824,1.065,2.0398,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,random,1,k10,0.264,0.1505,0.2528,0.0824,1.0565,0.5803,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,random,1,k20,0.2604,0.1076,0.2528,0.0824,1.0353,0.3387,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,random,1,k3,0.2613,0.2795,0.2528,0.0824,1.0581,1.3021,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,random,1,k5,0.2784,0.2108,0.2528,0.0824,1.1253,0.9358,73.072,32.1489,16.072,0.3156
bipartite,0.5,gcn,random,1,oracle,0.2524,0.1206,0.2528,0.0824,0.9982,0.3941,73.072,32.1489,16.072,0.3156
bipartite,0.5,sage,gnnexplainer,0,k1,0.2143,0.4133,0.2342,0.0896,0.9376,1.9772,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,gnnexplainer,0,k10,0.2829,0.1761,0.2342,0.0896,1.3811,1.1452,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,gnnexplainer,0,k20,0.3586,0.128,0.2342,0.0896,1.7676,1.082,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,gnnexplainer,0,k3,0.2667,0.2871,0.2342,0.0896,1.2479,1.4069,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,gnnexplainer,0,k5,0.2686,0.2281,0.2342,0.0896,1.2692,1.2429,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,gnnexplainer,0,oracle,0.3434,0.1526,0.2342,0.0896,1.69,1.1568,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,gnnexplainer,1,k1,0.456,0.5001,0.2519,0.0865,2.0636,2.6894,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,gnnexplainer,1,k10,0.4704,0.1905,0.2519,0.0865,2.2396,1.587,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,gnnexplainer,1,k20,0.4212,0.1036,0.2519,0.0865,1.9833,1.1589,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,gnnexplainer,1,k3,0.456,0.3266,0.2519,0.0865,2.1858,2.2494,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,gnnexplainer,1,k5,0.4912,0.2534,0.2519,0.0865,2.3533,1.8287,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,gnnexplainer,1,oracle,0.437,0.1245,0.2519,0.0865,2.0331,1.1833,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,grad,0,k1,0.6286,0.4867,0.2342,0.0896,3.094,2.9797,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,grad,0,k10,0.47,0.1267,0.2342,0.0896,2.4294,1.4112,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,grad,0,k20,0.4293,0.0853,0.2342,0.0896,2.2004,1.1167,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,grad,0,k3,0.6,0.2512,0.2342,0.0896,3.0311,2.0712,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,grad,0,k5,0.5457,0.127,0.2342,0.0896,2.7962,1.4801,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,grad,0,oracle,0.4447,0.0939,0.2342,0.0896,2.2851,1.1699,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,grad,1,k1,0.56,0.4984,0.2519,0.0865,2.6093,2.8209,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,grad,1,k10,0.448,0.109,0.2519,0.0865,2.1695,1.3998,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,grad,1,k20,0.406,0.1007,0.2519,0.0865,1.9311,1.1651,75.056,36.6448,16.048,0.2494
